,Respondent ID,Expense report data ID,Expense report reason,Expense report type,Expense report amount,Expense report date,Expense report transaction type,Expense report payment type,Income source data ID,Income source sub-type,debit acc,debit amt,credit acc,credit amt
0,4425,EX00115403,Income Source 1 (Raw materials),Business Expense,1950.0,2021-04-13,,,IS00005780,AD - Printing / photocopying OT,purchases,1950.0,cash,1950.0
1,4425,EX00115404,"Income Source 1 (Utility costs (electricity, water, …))",Business Expense,280.0,2021-04-14,,,IS00005780,AD - Printing / photocopying OT,utility expense,280.0,cash,280.0
2,4425,EX00115405,Income Source 1 (Raw materials),Business Expense,1000.0,2021-04-15,,,IS00005780,AD - Printing / photocopying OT,purchases,1000.0,cash,1000.0
3,4425,EX00115416,Income Source 1 (Raw materials),Business Expense,1000.0,2021-04-16,,,IS00005780,AD - Printing / photocopying OT,purchases,1000.0,cash,1000.0
4,4425,EX00115417,Income Source 1 (Raw materials),Business Expense,750.0,2021-04-18,,,IS00005780,AD - Printing / photocopying OT,purchases,750.0,cash,750.0
5,4425,EX00115500,Income Source 1 (Raw materials),Business Expense,1950.0,2021-04-22,,,IS00005780,AD - Printing / photocopying OT,purchases,1950.0,cash,1950.0
6,4425,EX00115499,Income Source 1 (Raw materials),Business Expense,1000.0,2021-04-23,,,IS00005780,AD - Printing / photocopying OT,purchases,1000.0,cash,1000.0
7,4425,EX00115498,Income Source 1 (Raw materials),Business Expense,1000.0,2021-04-24,,,IS00005780,AD - Printing / photocopying OT,purchases,1000.0,cash,1000.0
8,4425,EX00115497,Income Source 1 (Raw materials),Business Expense,750.0,2021-04-26,,,IS00005780,AD - Printing / photocopying OT,purchases,750.0,cash,750.0
9,4425,EX00115418,Income Source 1 (Raw materials),Business Expense,600.0,2021-04-27,,,IS00005780,AD - Printing / photocopying OT,purchases,600.0,cash,600.0
10,4425,EX00120712,Income Source 1 (Raw materials),Business Expense,416.0,2021-04-28,,,IS00005780,AD - Printing / photocopying OT,purchases,416.0,cash,416.0
11,4425,EX00120711,Income Source 1 (Raw materials),Business Expense,250.0,2021-05-03,,,IS00005780,AD - Printing / photocopying OT,purchases,250.0,cash,250.0
12,4425,EX00120710,Income Source 1 (Raw materials),Business Expense,160.0,2021-05-04,,,IS00005780,AD - Printing / photocopying OT,purchases,160.0,cash,160.0
13,4425,EX00120709,Income Source 1 (Raw materials),Business Expense,300.0,2021-05-05,,,IS00005780,AD - Printing / photocopying OT,purchases,300.0,cash,300.0
14,4425,EX00120708,Income Source 1 (Raw materials),Business Expense,2964.0,2021-05-05,,,IS00005780,AD - Printing / photocopying OT,purchases,2964.0,cash,2964.0
